[TD-Ludo Config] Mode: PROD
[TD-Ludo Config] Run: ac_v6_big | Dir: /Users/sumit/Github/AlphaLudo/td_ludo/checkpoints/ac_v6_big
[TD-Ludo Config] LR: 1e-05 | Entropy: 0.005 | Temp: 1.1→0.95
[TD-Ludo Config] Ghosts: every 2000 games | Batch: 512
[Train] Device: mps
[Train] Mode: PROD
[Train] Architecture: AlphaLudoV6-Big (128ch, 10res, 2,990,917 params)
[Trainer] Loaded full checkpoint: 323186 games, 332445 updates
[Train] Resumed from checkpoint (323186 games, 332445 updates)
[Elo] Loaded 223 ratings
[Train] Elo Tracker initialized (Main: 1500)
[Train] Game DB initialized (430134 games recorded)
[Dashboard] Server started at http://localhost:8787

============================================================
  TD-Ludo Actor-Critic Training — PROD Mode
  Algorithm: PPO (Proximal Policy Optimization)
  Checkpoints: /Users/sumit/Github/AlphaLudo/td_ludo/checkpoints/ac_v6_big
  Eval: every 2000 games (500 games each)
  Ghost saves: every 2000 games
  Elo tracking: ON | Game DB: ON
  Batch Size: 512
  Ctrl+C to save and exit gracefully
============================================================

[G 323190] WR:  75.0% | Ent: 0.000 | τ: 0.95 | Elo: 1806 | GPM: 9 | WIN
[G 323220] WR:  77.4% | Ent: 0.000 | τ: 0.95 | Elo: 1822 | GPM: 65 | loss
[G 323220] WR:  78.1% | Ent: 0.000 | τ: 0.95 | Elo: 1827 | GPM: 64 | WIN
[G 323220] WR:  78.8% | Ent: 0.000 | τ: 0.95 | Elo: 1829 | GPM: 63 | WIN
[G 323220] WR:  79.4% | Ent: 0.000 | τ: 0.95 | Elo: 1830 | GPM: 63 | WIN
[G 323270] WR:  73.2% | Ent: 0.533 | τ: 0.95 | Elo: 1815 | GPM: 81 | WIN
[G 323270] WR:  73.5% | Ent: 0.533 | τ: 0.95 | Elo: 1816 | GPM: 80 | WIN
[G 323270] WR:  72.6% | Ent: 0.533 | τ: 0.95 | Elo: 1809 | GPM: 80 | loss
[G 323300] WR:  73.2% | Ent: 0.533 | τ: 0.95 | Elo: 1819 | GPM: 105 | WIN
[G 323300] WR:  72.6% | Ent: 0.533 | τ: 0.95 | Elo: 1812 | GPM: 105 | loss
[G 323300] WR:  72.8% | Ent: 0.533 | τ: 0.95 | Elo: 1817 | GPM: 104 | WIN
[G 323340] WR:  71.8% | Ent: 0.518 | τ: 0.95 | Elo: 1817 | GPM: 96 | WIN
[G 323340] WR:  72.0% | Ent: 0.518 | τ: 0.95 | Elo: 1823 | GPM: 96 | WIN
[G 323340] WR:  72.2% | Ent: 0.518 | τ: 0.95 | Elo: 1824 | GPM: 95 | WIN
[G 323340] WR:  71.7% | Ent: 0.518 | τ: 0.95 | Elo: 1817 | GPM: 95 | loss
[G 323340] WR:  71.2% | Ent: 0.518 | τ: 0.95 | Elo: 1808 | GPM: 95 | loss
[G 323340] WR:  70.8% | Ent: 0.518 | τ: 0.95 | Elo: 1802 | GPM: 94 | loss
[G 323350] WR:  69.8% | Ent: 0.518 | τ: 0.95 | Elo: 1793 | GPM: 99 | WIN
[G 323350] WR:  69.4% | Ent: 0.518 | τ: 0.95 | Elo: 1787 | GPM: 99 | loss
[G 323350] WR:  69.6% | Ent: 0.518 | τ: 0.95 | Elo: 1788 | GPM: 99 | WIN
[G 323350] WR:  69.8% | Ent: 0.518 | τ: 0.95 | Elo: 1793 | GPM: 98 | WIN
[G 323350] WR:  69.3% | Ent: 0.518 | τ: 0.95 | Elo: 1787 | GPM: 98 | loss
[G 323350] WR:  68.9% | Ent: 0.518 | τ: 0.95 | Elo: 1782 | GPM: 97 | loss
[G 323370] WR:  70.9% | Ent: 0.518 | τ: 0.95 | Elo: 1818 | GPM: 108 | WIN
[G 323370] WR:  70.5% | Ent: 0.518 | τ: 0.95 | Elo: 1812 | GPM: 107 | loss
[G 323370] WR:  70.1% | Ent: 0.518 | τ: 0.95 | Elo: 1806 | GPM: 107 | loss
[G 323380] WR:  69.5% | Ent: 0.501 | τ: 0.95 | Elo: 1793 | GPM: 86 | loss
[G 323380] WR:  69.6% | Ent: 0.501 | τ: 0.95 | Elo: 1798 | GPM: 86 | WIN
[G 323380] WR:  69.3% | Ent: 0.501 | τ: 0.95 | Elo: 1792 | GPM: 85 | loss
[G 323380] WR:  69.4% | Ent: 0.501 | τ: 0.95 | Elo: 1797 | GPM: 85 | WIN
[G 323380] WR:  69.6% | Ent: 0.501 | τ: 0.95 | Elo: 1799 | GPM: 85 | WIN
[G 323410] WR:  68.3% | Ent: 0.501 | τ: 0.95 | Elo: 1802 | GPM: 97 | WIN
[G 323410] WR:  68.0% | Ent: 0.501 | τ: 0.95 | Elo: 1792 | GPM: 96 | loss
[G 323410] WR:  67.7% | Ent: 0.501 | τ: 0.95 | Elo: 1787 | GPM: 96 | loss
[G 323410] WR:  67.4% | Ent: 0.501 | τ: 0.95 | Elo: 1782 | GPM: 96 | loss
[G 323500] WR:  65.5% | Ent: 0.505 | τ: 0.95 | Elo: 1777 | GPM: 107 | WIN
[G 323500] WR:  65.6% | Ent: 0.505 | τ: 0.95 | Elo: 1783 | GPM: 106 | WIN
[G 323500] WR:  65.7% | Ent: 0.505 | τ: 0.95 | Elo: 1784 | GPM: 106 | WIN
[G 323500] WR:  65.5% | Ent: 0.505 | τ: 0.95 | Elo: 1780 | GPM: 106 | loss
[G 323500] WR:  65.6% | Ent: 0.505 | τ: 0.95 | Elo: 1786 | GPM: 106 | WIN
[G 323510] WR:  65.5% | Ent: 0.503 | τ: 0.95 | Elo: 1790 | GPM: 91 | WIN
[G 323510] WR:  65.6% | Ent: 0.503 | τ: 0.95 | Elo: 1792 | GPM: 90 | WIN
[G 323510] WR:  65.7% | Ent: 0.503 | τ: 0.95 | Elo: 1797 | GPM: 90 | WIN
[G 323550] WR:  64.6% | Ent: 0.503 | τ: 0.95 | Elo: 1803 | GPM: 101 | WIN
[G 323550] WR:  64.4% | Ent: 0.503 | τ: 0.95 | Elo: 1799 | GPM: 100 | loss
[G 323550] WR:  64.3% | Ent: 0.503 | τ: 0.95 | Elo: 1793 | GPM: 100 | loss
[G 323550] WR:  64.1% | Ent: 0.503 | τ: 0.95 | Elo: 1787 | GPM: 100 | loss
[G 323550] WR:  63.9% | Ent: 0.503 | τ: 0.95 | Elo: 1778 | GPM: 100 | loss
[G 323550] WR:  63.7% | Ent: 0.503 | τ: 0.95 | Elo: 1772 | GPM: 99 | loss
[Auto-save] Checkpoint saved (game 323637)
[G 323670] WR:  60.1% | Ent: 0.498 | τ: 0.95 | Elo: 1780 | GPM: 92 | WIN
[G 323680] WR:  60.1% | Ent: 0.498 | τ: 0.95 | Elo: 1789 | GPM: 93 | WIN
[G 323700] WR:  60.2% | Ent: 0.497 | τ: 0.95 | Elo: 1814 | GPM: 82 | WIN
[G 323700] WR:  60.2% | Ent: 0.497 | τ: 0.95 | Elo: 1818 | GPM: 82 | WIN
[G 323780] WR:  59.4% | Ent: 0.497 | τ: 0.95 | Elo: 1814 | GPM: 84 | WIN
[G 323780] WR:  59.6% | Ent: 0.497 | τ: 0.95 | Elo: 1816 | GPM: 83 | WIN
[G 323780] WR:  59.6% | Ent: 0.497 | τ: 0.95 | Elo: 1817 | GPM: 83 | WIN
[G 323800] WR:  58.0% | Ent: 0.497 | τ: 0.95 | Elo: 1768 | GPM: 86 | loss
[G 323800] WR:  58.0% | Ent: 0.497 | τ: 0.95 | Elo: 1769 | GPM: 86 | WIN
[G 323800] WR:  58.0% | Ent: 0.497 | τ: 0.95 | Elo: 1775 | GPM: 86 | WIN
[G 323800] WR:  58.0% | Ent: 0.497 | τ: 0.95 | Elo: 1770 | GPM: 86 | loss
[G 323800] WR:  58.0% | Ent: 0.497 | τ: 0.95 | Elo: 1772 | GPM: 86 | WIN
[G 323840] WR:  57.2% | Ent: 0.495 | τ: 0.95 | Elo: 1773 | GPM: 84 | WIN
[G 323840] WR:  57.2% | Ent: 0.495 | τ: 0.95 | Elo: 1769 | GPM: 84 | loss
[G 323850] WR:  57.2% | Ent: 0.495 | τ: 0.95 | Elo: 1768 | GPM: 85 | loss
[G 323850] WR:  57.4% | Ent: 0.495 | τ: 0.95 | Elo: 1770 | GPM: 85 | WIN
[G 323850] WR:  57.6% | Ent: 0.495 | τ: 0.95 | Elo: 1776 | GPM: 85 | WIN
[G 323900] WR:  58.2% | Ent: 0.494 | τ: 0.95 | Elo: 1815 | GPM: 84 | WIN
[G 323900] WR:  58.2% | Ent: 0.494 | τ: 0.95 | Elo: 1819 | GPM: 84 | WIN
[G 323900] WR:  58.2% | Ent: 0.494 | τ: 0.95 | Elo: 1813 | GPM: 84 | loss
[G 323910] WR:  58.0% | Ent: 0.494 | τ: 0.95 | Elo: 1813 | GPM: 85 | WIN
[G 323910] WR:  58.2% | Ent: 0.494 | τ: 0.95 | Elo: 1818 | GPM: 84 | WIN
[G 323910] WR:  58.4% | Ent: 0.494 | τ: 0.95 | Elo: 1822 | GPM: 84 | WIN
[G 323910] WR:  58.6% | Ent: 0.494 | τ: 0.95 | Elo: 1823 | GPM: 84 | WIN
[Auto-save] Checkpoint saved (game 324018)
[G 324040] WR:  58.2% | Ent: 0.494 | τ: 0.95 | Elo: 1781 | GPM: 84 | WIN
